,NUM_CASOS,ALCALDIA,COLONIA_HECHOS,DENUNCIAS,POBLACION,indice,PRECIO_POR_METRO_CUADRADO
69,1608,XOCHIMILCO,SAN MATEO XALPA,129,16065,8.029878618,6278.0
70,365,BENITO JUAREZ,PORTALES SUR,230,15991,14.38309049,44167.0
71,1120,MIGUEL HIDALGO,POPOTLA,87,15585,5.582290663999999,46193.0
72,1399,TLALPAN,PUEBLO SAN PEDRO MÁRTIR,127,15531,8.177193999,6667.0
73,888,IZTAPALAPA,IZTLAHUACÁN,92,15414,5.968599974,9960.0
74,1598,XOCHIMILCO,SAN GREGORIO ATLAPULCO,154,15208,10.12624934,6278.0
75,1309,TLALPAN,HÉROES DE PADIERNA,140,15009,9.327736691,6667.0
76,1340,TLALPAN,MIGUEL HIDALGO 3ERA SECCIÓN,97,14985,6.473139806,6667.0
77,1310,TLALPAN,ISIDRO FABELA,93,13688,6.794272355,6667.0
78,561,CUAUHTEMOC,HIPÓDROMO,122,13572,8.989095196000001,45037.0
79,540,CUAJIMALPA DE MORELOS,SAN MATEO TLALTENANGO,79,13435,5.880163751,13725.0
80,103,ALVARO OBREGON,JARDINES DEL PEDREGAL,89,13403,6.640304409,20714.0
81,1441,VENUSTIANO CARRANZA,20 DE NOVIEMBRE,96,13001,7.384047381,18251.0
82,538,CUAJIMALPA DE MORELOS,SAN JOSÉ DE LOS CEDROS,71,12895,5.506010081,13725.0
83,1132,MIGUEL HIDALGO,TACUBA,105,12599,8.333994761,46193.0
84,1087,MIGUEL HIDALGO,"ESCANDÓN, I SECCIÓN",140,12282,11.39879498,46193.0
85,357,BENITO JUAREZ,NAPOLES,106,12106,8.755988766,44167.0
86,1619,XOCHIMILCO,SANTIAGO TEPALCATLALPAN,117,12018,9.735396905,6278.0
87,370,BENITO JUAREZ,SAN PEDRO DE LOS PINOS,89,12007,7.4123428,44167.0
88,1055,LA MAGDALENA CONTRERAS,PUEBLO SAN BERNABÉ OCOTEPEC,108,11932,9.051290647,12678.0
89,1504,VENUSTIANO CARRANZA,ROMERO RUBIO,90,11796,7.629704985,18251.0
90,1497,VENUSTIANO CARRANZA,PENSADOR MEXICANO,98,11729,8.355358512999999,18251.0
91,558,CUAUHTEMOC,EX-HIPÓDROMO DE PERALVILLO,94,11711,8.026641619,45037.0
92,555,CUAUHTEMOC,CUAUHTÉMOC,118,11399,10.35178524,45037.0
93,1403,TLALPAN,SANTO TOMAS AJUSCO,100,11347,8.812902089,6667.0
94,1392,TLALPAN,SAN MIGUEL AJUSCO,97,11306,8.579515302,6667.0
95,418,COYOACAN,DEL CARMEN,93,10460,8.891013383999999,27000.0
96,792,IZTACALCO,SANTA ANITA,80,10343,7.734699797,16949.0
97,359,BENITO JUAREZ,NATIVITAS,79,10265,7.696054554,44167.0
98,563,CUAUHTEMOC,JUAREZ,235,10184,23.07541241,45037.0
99,694,GUSTAVO A MADERO,NUEVA INDUSTRIAL VALLEJO,84,10026,8.378216637000001,14545.0
100,1498,VENUSTIANO CARRANZA,PEÑÓN DE LOS BAÑOS,119,9921,11.99475859,18251.0
