,Alcaldias,Precio por metro cuadrado
0,Tlapan,6667
1,Alvaro Obregon,20714
2,Azcapotzalco,17255
3,Xochimilco,6278
4,Cuajimalpa de Morelos,13725
5,Gustavo A Madero,14545
6,Iztapalapa,9960
7,Miguel Hidalgo,46193
8,Tlahuac,7000
9,Cuauhtemoc,45037
10,Benito Juarez,44167
11,Coyoacan,27000
12,La Magdalena Contreras,12678
13,Milpa Alta,980
14,Iztacalco,16949
15,Venustiano Carranza,18251
