NUM_CASOS,ALCALDIA,COLONIA_HECHOS,DENUNCIAS,POBLACION,indice
1132,MIGUEL HIDALGO,TACUBA,105,12599,8.333994761
1087,MIGUEL HIDALGO,"ESCANDÓN, I SECCIÓN",140,12282,11.39879498
357,BENITO JUAREZ,NAPOLES,106,12106,8.755988766
1619,XOCHIMILCO,SANTIAGO TEPALCATLALPAN,117,12018,9.735396905
370,BENITO JUAREZ,SAN PEDRO DE LOS PINOS,89,12007,7.4123428
1055,LA MAGDALENA CONTRERAS,PUEBLO SAN BERNABÉ OCOTEPEC,108,11932,9.051290647
1504,VENUSTIANO CARRANZA,ROMERO RUBIO,90,11796,7.629704985
1497,VENUSTIANO CARRANZA,PENSADOR MEXICANO,98,11729,8.355358513
558,CUAUHTEMOC,EX-HIPÓDROMO DE PERALVILLO,94,11711,8.026641619
555,CUAUHTEMOC,CUAUHTÉMOC,118,11399,10.35178524
1403,TLALPAN,SANTO TOMAS AJUSCO,100,11347,8.812902089
1392,TLALPAN,SAN MIGUEL AJUSCO,97,11306,8.579515302
418,COYOACAN,DEL CARMEN,93,10460,8.891013384
792,IZTACALCO,SANTA ANITA,80,10343,7.734699797
359,BENITO JUAREZ,NATIVITAS,79,10265,7.696054554
563,CUAUHTEMOC,JUAREZ,235,10184,23.07541241
694,GUSTAVO A MADERO,NUEVA INDUSTRIAL VALLEJO,84,10026,8.378216637
1498,VENUSTIANO CARRANZA,PEÑÓN DE LOS BAÑOS,119,9921,11.99475859
573,CUAUHTEMOC,SAN SIMÓN TOLNÁHUAC,91,9885,9.205867476
1605,XOCHIMILCO,SAN LUCAS XOCHIMANCA,91,9139,9.957325747
372,BENITO JUAREZ,SANTA CRUZ ATOYAC,117,8600,13.60465116
1133,MIGUEL HIDALGO,TACUBAYA,112,8447,13.25914526
1130,MIGUEL HIDALGO,SAN MIGUEL CHAPULTEPEC,94,7671,12.25394342
1027,LA MAGDALENA CONTRERAS,EL ROSAL,79,7650,10.32679739
416,COYOACAN,CULHUACÁN CTM SECCIÓN VII,116,6653,17.43574327
763,IZTACALCO,AMPLIACIÓN GABRIEL RAMOS MILLÁN,104,5568,18.67816092
696,GUSTAVO A MADERO,NUEVA VALLEJO,82,4223,19.41747573
96,ALVARO OBREGON,GUADALUPE INN,53,3599,14.72631286
576,CUAUHTEMOC,TABACALERA,99,3267,30.3030303
198,ALVARO OBREGON,SAN ANGEL,84,2657,31.61460294
1098,MIGUEL HIDALGO,"LOMAS DE CHAPULTEPEC, I SECCIÓN",94,1785,52.66106443
838,IZTAPALAPA,CENTRAL DE ABASTO,143,418,342.1052632
