Clave de entidad federativa,Nombre de la entidad,Clave de municipio,Nombre del municipio,Clave de localidad,Nombre de la localidad,Latitud,Longitud,Poblacion total,Poblacion 15 a 17,Poblacion 18 a 24,Poblacion 15 a 17 que asiste a la escuela,Poblacion 18 a 24 que asiste a la escuela,Grado promedio de escolaridad,Total de viviendas,Total de viviendas habitadas
9,Distrito Federal,2,Azcapotzalco,1,Azcapotzalco,192858.0,991100.0,414711.0,18922.0,47181.0,15904.0,22237.0,10.8,132135.0,117264.0
9,Distrito Federal,3,Coyoacán,1,Coyoacán,192100.0,990942.0,620416.0,26665.0,69383.0,22072.0,36164.0,11.66,195589.0,180946.0
9,Distrito Federal,4,Cuajimalpa de Morelos,1,Cuajimalpa de Morelos,192228.0,991705.0,160491.0,8304.0,20523.0,6296.0,7534.0,10.42,47346.0,41708.0
9,Distrito Federal,4,Cuajimalpa de Morelos,10,Cruz Blanca,191906.0,991924.0,581.0,49.0,87.0,37.0,20.0,7.69,165.0,137.0
9,Distrito Federal,4,Cuajimalpa de Morelos,20,San Lorenzo Acopilco,191944.0,991932.0,23037.0,1316.0,3078.0,955.0,966.0,9.17,6024.0,5510.0
9,Distrito Federal,4,Cuajimalpa de Morelos,50,La Venta,192005.0,991838.0,531.0,35.0,73.0,22.0,20.0,8.78,128.0,123.0
9,Distrito Federal,4,Cuajimalpa de Morelos,54,Puerto las Cruces (Monte las Cruces),191745.0,992053.0,444.0,25.0,65.0,17.0,23.0,8.63,157.0,108.0
9,Distrito Federal,4,Cuajimalpa de Morelos,55,Teopazulco,192047.0,991927.0,12.0,1.0,0.0,1.0,0.0,8.13,4.0,4.0
9,Distrito Federal,4,Cuajimalpa de Morelos,57,Prolongación Constitución,192107.0,991936.0,18.0,2.0,2.0,2.0,0.0,7.0,4.0,3.0
9,Distrito Federal,4,Cuajimalpa de Morelos,58,Paraje Río Borracho,192105.0,991942.0,51.0,3.0,7.0,3.0,2.0,7.82,14.0,11.0
9,Distrito Federal,4,Cuajimalpa de Morelos,60,La Bolsa (El Encinal),192017.0,991807.0,17.0,1.0,2.0,1.0,1.0,11.5,8.0,5.0
9,Distrito Federal,4,Cuajimalpa de Morelos,62,Rancho los Campesinos,191814.0,992039.0,22.0,0.0,5.0,0.0,2.0,8.89,13.0,7.0
9,Distrito Federal,4,Cuajimalpa de Morelos,63,Santa Rosa,191923.0,991747.0,518.0,42.0,83.0,25.0,22.0,7.36,122.0,115.0
9,Distrito Federal,4,Cuajimalpa de Morelos,64,Paraje Cerro de los Padres,192147.0,991900.0,11.0,,,,,,1.0,1.0
9,Distrito Federal,4,Cuajimalpa de Morelos,65,El Boji (San Jacinto),192149.0,991907.0,51.0,3.0,4.0,1.0,0.0,7.68,14.0,14.0
9,Distrito Federal,4,Cuajimalpa de Morelos,66,Rancho Santa Laura,192035.0,991914.0,61.0,7.0,8.0,6.0,4.0,12.0,17.0,16.0
9,Distrito Federal,4,Cuajimalpa de Morelos,67,La Papa [Escuela Niños Héroes],192042.0,991846.0,3.0,,,,,,1.0,1.0
9,Distrito Federal,4,Cuajimalpa de Morelos,69,La Troje,191937.0,991906.0,5.0,,,,,,3.0,1.0
9,Distrito Federal,4,Cuajimalpa de Morelos,70,Punta Galicia,192227.0,991812.0,387.0,28.0,43.0,25.0,9.0,8.23,105.0,97.0
9,Distrito Federal,4,Cuajimalpa de Morelos,71,Ninguno,191810.0,992021.0,11.0,,,,,,1.0,1.0
9,Distrito Federal,4,Cuajimalpa de Morelos,73,Santiago Yacuitlalpan,192231.0,991818.0,75.0,2.0,16.0,2.0,2.0,6.95,21.0,21.0
9,Distrito Federal,4,Cuajimalpa de Morelos,74,Punta Ahuatenco,192205.0,991820.0,65.0,5.0,8.0,3.0,1.0,6.2,21.0,14.0
9,Distrito Federal,5,Gustavo A. Madero,1,Gustavo A. Madero,192856.0,990645.0,1185772.0,57231.0,141301.0,45135.0,57868.0,10.23,352986.0,320756.0
9,Distrito Federal,6,Iztacalco,1,Iztacalco,192343.0,990552.0,384326.0,18408.0,43855.0,14877.0,19161.0,10.5,114867.0,104406.0
9,Distrito Federal,7,Iztapalapa,1,Iztapalapa,192130.0,990535.0,1815786.0,95933.0,229530.0,71349.0,80120.0,9.61,507483.0,460747.0
9,Distrito Federal,8,La Magdalena Contreras,1,La Magdalena Contreras,192000.0,991250.0,238431.0,12194.0,29068.0,9118.0,11165.0,9.94,67331.0,63114.0
9,Distrito Federal,8,La Magdalena Contreras,71,Paraje las Llantas,191512.0,991444.0,7.0,,,,,,2.0,2.0
9,Distrito Federal,8,La Magdalena Contreras,75,Segundo Dinamo,191659.0,991626.0,21.0,0.0,0.0,0.0,0.0,7.13,6.0,6.0
9,Distrito Federal,8,La Magdalena Contreras,83,El Gavillero,191713.0,991453.0,305.0,22.0,45.0,17.0,9.0,6.7,86.0,70.0
9,Distrito Federal,8,La Magdalena Contreras,88,Totolapa,191651.0,991439.0,121.0,1.0,12.0,0.0,5.0,6.8,34.0,29.0
9,Distrito Federal,8,La Magdalena Contreras,101,Paraje el Rancho,191733.0,991515.0,23.0,2.0,3.0,1.0,0.0,7.29,5.0,5.0
9,Distrito Federal,8,La Magdalena Contreras,103,Paraje Aila,191521.0,991807.0,5.0,,,,,,1.0,1.0
9,Distrito Federal,8,La Magdalena Contreras,104,Rancho Viejo,191530.0,991453.0,27.0,3.0,4.0,0.0,1.0,6.74,10.0,7.0
9,Distrito Federal,8,La Magdalena Contreras,105,La Loma,191722.0,991527.0,14.0,0.0,0.0,0.0,0.0,9.78,3.0,3.0
9,Distrito Federal,8,La Magdalena Contreras,108,Rincón Eslava,191720.0,991505.0,7.0,,,,,,2.0,2.0
9,Distrito Federal,8,La Magdalena Contreras,110,Paraje Chepecano,191728.0,991503.0,21.0,1.0,2.0,0.0,0.0,8.0,6.0,6.0
9,Distrito Federal,8,La Magdalena Contreras,111,Rancho Chichicaspa,191636.0,991444.0,1.0,,,,,,1.0,1.0
9,Distrito Federal,8,La Magdalena Contreras,112,Paraje Chichicaspa,191637.0,991456.0,103.0,5.0,13.0,4.0,2.0,7.95,23.0,21.0
9,Distrito Federal,9,Milpa Alta,1,Villa Milpa Alta,191132.0,990123.0,18274.0,1029.0,2338.0,743.0,870.0,9.25,4919.0,4452.0
9,Distrito Federal,9,Milpa Alta,11,San Antonio Tecómitl,191304.0,985917.0,24397.0,1522.0,3220.0,1138.0,1236.0,9.55,6488.0,5899.0
9,Distrito Federal,9,Milpa Alta,15,San Bartolomé Xicomulco,191219.0,990400.0,4340.0,264.0,502.0,216.0,176.0,9.55,1272.0,1119.0
9,Distrito Federal,9,Milpa Alta,17,San Francisco Tecoxpa,191130.0,990023.0,11456.0,716.0,1478.0,544.0,470.0,9.08,3076.0,2767.0
9,Distrito Federal,9,Milpa Alta,24,San Pablo Oztotepec,191109.0,990421.0,15507.0,938.0,2055.0,695.0,660.0,9.33,4270.0,3742.0
9,Distrito Federal,9,Milpa Alta,29,San Pedro Atocpan,191202.0,990257.0,8283.0,492.0,1166.0,374.0,378.0,8.94,2263.0,2026.0
9,Distrito Federal,9,Milpa Alta,33,San Salvador Cuauhtenco,191127.0,990515.0,13856.0,845.0,1777.0,638.0,523.0,9.06,3757.0,3329.0
9,Distrito Federal,9,Milpa Alta,36,Santa Ana Tlacotenco,191026.0,985946.0,10593.0,606.0,1338.0,450.0,514.0,8.99,3009.0,2647.0
9,Distrito Federal,9,Milpa Alta,37,Cruztitla,191256.0,990014.0,496.0,30.0,73.0,19.0,20.0,8.5,146.0,124.0
9,Distrito Federal,9,Milpa Alta,39,Atlimeya,190959.0,990421.0,30.0,0.0,2.0,0.0,0.0,5.83,11.0,5.0
9,Distrito Federal,9,Milpa Alta,41,Atoctienco,191247.0,990242.0,108.0,5.0,18.0,3.0,6.0,8.55,40.0,30.0
9,Distrito Federal,9,Milpa Alta,45,Totolan,191100.0,990206.0,6.0,,,,,,2.0,2.0
9,Distrito Federal,9,Milpa Alta,46,Xoctonco,191102.0,990515.0,329.0,27.0,47.0,20.0,11.0,8.1,86.0,77.0
9,Distrito Federal,9,Milpa Alta,50,Cozcatlán,191050.0,990101.0,2.0,,,,,,2.0,1.0
9,Distrito Federal,9,Milpa Alta,52,La Herradura (Séptima Curva),191103.0,990257.0,96.0,5.0,16.0,2.0,4.0,7.54,32.0,27.0
9,Distrito Federal,9,Milpa Alta,54,Zangahco,191021.0,990358.0,31.0,2.0,2.0,2.0,0.0,6.28,10.0,7.0
9,Distrito Federal,9,Milpa Alta,56,Hueycotzingo,191126.0,990310.0,99.0,6.0,9.0,5.0,2.0,7.59,25.0,25.0
9,Distrito Federal,9,Milpa Alta,66,Cuauhtec (El Mirador Santa Ana Tlacotenco),190938.0,985923.0,17.0,1.0,2.0,1.0,2.0,10.8,3.0,3.0
9,Distrito Federal,9,Milpa Alta,67,La Mora,191122.0,990211.0,12.0,3.0,1.0,3.0,0.0,8.29,3.0,3.0
9,Distrito Federal,9,Milpa Alta,68,Metenco,191213.0,990449.0,226.0,15.0,27.0,14.0,7.0,8.84,66.0,57.0
9,Distrito Federal,9,Milpa Alta,72,Tamasquiti,191022.0,990125.0,11.0,0.0,0.0,0.0,0.0,6.13,4.0,3.0
9,Distrito Federal,9,Milpa Alta,74,San Agustín el Alto,191038.0,990030.0,14.0,1.0,3.0,0.0,1.0,5.2,5.0,3.0
9,Distrito Federal,9,Milpa Alta,77,San Marcos,191007.0,990131.0,130.0,6.0,24.0,2.0,5.0,7.76,33.0,26.0
9,Distrito Federal,9,Milpa Alta,79,Atlatlauco,191040.0,990352.0,90.0,8.0,9.0,4.0,1.0,7.18,22.0,18.0
9,Distrito Federal,9,Milpa Alta,81,Cuyucalco,191058.0,990336.0,87.0,2.0,11.0,2.0,3.0,9.72,34.0,23.0
9,Distrito Federal,9,Milpa Alta,82,Iztauhagca,191104.0,990332.0,65.0,2.0,8.0,2.0,4.0,9.1,20.0,17.0
9,Distrito Federal,9,Milpa Alta,83,Tzotzomaco,191152.0,990220.0,13.0,0.0,0.0,0.0,0.0,10.25,3.0,3.0
9,Distrito Federal,9,Milpa Alta,84,Tlatepexco,191141.0,990438.0,117.0,9.0,21.0,7.0,6.0,7.65,45.0,34.0
9,Distrito Federal,9,Milpa Alta,88,San Paocotitla,191109.0,990301.0,88.0,6.0,11.0,4.0,0.0,7.4,22.0,21.0
9,Distrito Federal,9,Milpa Alta,90,Tlacopac,191020.0,990226.0,51.0,4.0,7.0,2.0,2.0,8.22,14.0,11.0
9,Distrito Federal,9,Milpa Alta,92,Tecolotzitzatzian (Piltongo),190946.0,990237.0,7.0,,,,,,2.0,1.0
9,Distrito Federal,9,Milpa Alta,95,Mecatzintla,191107.0,990029.0,15.0,1.0,1.0,1.0,1.0,9.92,5.0,4.0
